product_name,short_name,launch_date,total_cores,max_turbo_frequency,processor_base_frequency,cache,tdp
Intel® Xeon® 6315P Processor,6315P,Q1'25,4,5.2 GHz,2.8 GHz,12 MB,55 W
Intel® Xeon® 6325P Processor,6325P,Q1'25,4,5.2 GHz,3.5 GHz,12 MB,55 W
Intel® Xeon® 6333P Processor,6333P,Q1'25,6,4.7 GHz,3.1 GHz,18 MB,65 W
Intel® Xeon® 6337P Processor,6337P,Q1'25,6,5.3 GHz,3.5 GHz,18 MB,80 W
Intel® Xeon® 6349P Processor,6349P,Q1'25,6,5.7 GHz,3.6 GHz,18 MB,95 W
Intel® Xeon® 6353P Processor,6353P,Q1'25,8,5.4 GHz,2.7 GHz,24 MB,65 W
Intel® Xeon® 6357P Processor,6357P,Q1'25,8,5.4 GHz,3 GHz,24 MB,80 W
Intel® Xeon® 6369P Processor,6369P,Q1'25,8,5.7 GHz,3.3 GHz,24 MB,95 W
Intel® Xeon® 6503P-B Processor,6503P-B,Q1'25,12,3.5 GHz,2 GHz,48 MB,110 W
Intel® Xeon® 6505P Processor,6506P,Q1'25,12,4.10 GHz,2.20 GHz,48 MB,150 W
Intel® Xeon® 6507P Processor,6507P,Q1'25,8,4.30 GHz,3.50 GHz,48 MB,150 W
Intel® Xeon® 6511P Processor,6511P,Q1'25,16,4.20 GHz,2.30 GHz,72 MB,150 W
Intel® Xeon® 6513P-B Processor,6513P-B,Q1'25,20,3.3 GHz,2 GHz,80 MB,130 W
Intel® Xeon® 6515P Processor,6515P,Q1'25,16,3.80 GHz,2.30 GHz,72 MB,150 W
Intel® Xeon® 6516P-B Processor,6516P-B,Q1'25,20,3.5 GHz,2.3 GHz,80 MB,145 W
Intel® Xeon® 6517P Processor,6517P,Q1'25,16,4.20 GHz,3.20 GHz,72 MB,190 W
Intel® Xeon® 6520P Processor,6520P,Q1'25,24,4 GHz,2.4 GHz,144 MB,210 W
Intel® Xeon® 6521P Processor,6521P,Q1'25,24,4.1 GHz,2.6 GHz,144 MB,225 W
Intel® Xeon® 6523P-B Processor,6523P-B,Q1'25,24,3.9 GHz,2.5 GHz,96 MB,175 W
Intel® Xeon® 6527P Processor,6527P,Q1'25,24,4.2 GHz,3 GHz,144 MB,255 W
Intel® Xeon® 6530P Processor,6530P,Q1'25,32,4.1 GHz,2.3 GHz,144 MB,225 W
